date,dotw,num of posts,engagement,picture post,video post,reaction per post,comment per post,share per post,abs follower growth,num of followers
9-Sep-22,Friday,1,0.12%,1,0,10870,1482,139,137,10558431
10-Sep-22,Saturday,1,0.01%,1,0,671,150,13,186,10558617
11-Sep-22,Sunday,0,0.00%,0,0,0,0,0,286,10558903
12-Sep-22,Monday,1,0.12%,0,1,11820,842,435,-217,10558686
13-Sep-22,Tuesday,1,0.13%,0,1,13078,782,261,181,10558867
14-Sep-22,Wednesday,0,0.00%,0,0,0,0,0,-532,10558335
15-Sep-22,Thursday,1,0.01%,0,1,1321,178,21,-869,10557466
16-Sep-22,Friday,1,0.02%,1,0,2003,370,38,239,10557705
17-Sep-22,Saturday,1,1.16%,0,1,108557,4805,9287,66,10557771
18-Sep-22,Sunday,2,0.01%,0,1,1046,58,15,296,10558067
19-Sep-22,Monday,1,0.04%,0,1,3232,361,412,341,10558408
20-Sep-22,Tuesday,2,0.14%,1,1,14408,235.5,162,630,10559038
21-Sep-22,Wednesday,1,0.03%,0,1,2248,306,39,544,10559582
22-Sep-22,Thursday,2,0.03%,2,0,2504,292,51,363,10559945
23-Sep-22,Friday,1,0.00%,1,0,308,139,12,346,10560291
24-Sep-22,Saturday,0,0.00%,0,0,0,0,0,310,10560601
25-Sep-22,Sunday,1,0.01%,1,0,373,282,6,287,10560888
26-Sep-22,Monday,0,0.00%,0,0,0,0,0,648,10561536
27-Sep-22,Tuesday,0,0.00%,0,0,0,0,0,622,10562158
28-Sep-22,Wednesday,1,0.01%,0,1,1325,123,27,693,10562851
29-Sep-22,Thursday,0,0.00%,0,0,0,0,0,350,10563201
30-Sep-22,Friday,1,0.05%,0,1,4504,214,49,144,10563345
1-Oct-22,Saturday,1,0.03%,1,0,2827,401,76,191,10563536
2-Oct-22,Sunday,0,0.00%,0,0,0,0,0,192,10563728
3-Oct-22,Monday,3,0.02%,2,1,1896,180,117,-160,10563568
4-Oct-22,Tuesday,1,0.00%,0,0,221,32,4,-118,10563450
5-Oct-22,Wednesday,1,0.03%,1,0,2756,132,37,14,10563464
6-Oct-22,Thursday,3,0.37%,1,2,35102,992.3333333,810,245,10563709
